file,family,category,odrl_term
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/.venv/lib/python3.13/site-packages/pyshacl/assets/shacl.ttl,spatial,assets,or
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/.venv/lib/python3.13/site-packages/pyshacl/assets/shacl.ttl,spatial,assets,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/.venv/lib/python3.13/site-packages/pyshacl/assets/shacl.ttl,spatial,assets,xone
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL300-policy.ttl,spatial,Policies,gteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL300-policy.ttl,spatial,Policies,lteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL300-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL301-policy.ttl,spatial,Policies,eq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL301-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL302-policy.ttl,spatial,Policies,gteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL302-policy.ttl,spatial,Policies,lt
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL302-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL303-policy.ttl,spatial,Policies,gt
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL303-policy.ttl,spatial,Policies,lteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL303-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL304-policy.ttl,spatial,Policies,gteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL304-policy.ttl,spatial,Policies,lteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL304-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL305-policy.ttl,spatial,Policies,gteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL305-policy.ttl,spatial,Policies,lteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL305-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL306-policy.ttl,spatial,Policies,eq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL306-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL307-policy.ttl,spatial,Policies,eq
